"skim_variable","n_missing","complete_rate","factor.ordered","factor.n_unique","factor.top_counts"
"race",0,1,FALSE,3,"Whi: 3413, Oth: 320, Bla: 291"
"marital_status",0,1,FALSE,5,"Mar: 2643, Sin: 615, Div: 486, Wid: 235"
"t_stage",0,1,FALSE,4,"T2: 1786, T1: 1603, T3: 533, T4: 102"
"n_stage",0,1,FALSE,3,"N1: 2732, N2: 820, N3: 472"
"x6th_stage",0,1,FALSE,5,"IIA: 1305, IIB: 1130, III: 1050, III: 472"
"differentiate",0,1,FALSE,4,"Mod: 2351, Poo: 1111, Wel: 543, Und: 19"
"grade",0,1,FALSE,4,"2: 2351, 3: 1111, 1: 543, 4: 19"
"a_stage",0,1,FALSE,2,"Reg: 3932, Dis: 92"
"estrogen_status",0,1,FALSE,2,"Pos: 3755, Neg: 269"
"progesterone_status",0,1,FALSE,2,"Pos: 3326, Neg: 698"
"status",0,1,FALSE,2,"Ali: 3408, Dea: 616"
